artist,title
Kendrick Lamar,Not Like Us
Shaboozey,A Bar Song (Tipsy)
Kendrick Lamar,meet the grahams
Randy Travis,Where That Came From
Kendrick Lamar,euphoria
BTS,Not Today
Teddy Swims,Lose Control
Drake,Family Matters
Jimmie Allen,G.R.I.T.S
Shaboozey,A Bar Song (Tipsy)
Benson Boone,Beautiful Things
Hozier,Too Sweet
Tommy Richman,MILLION DOLLAR BABY
Marshmello & Kane Brown,Miles on It
Taylor Swift,Fortnight (feat. Post Malone)
Sabrina Carpenter,Espresso
Black Oxygen,Hollywood Nights
"Future, Metro Boomin & Kendrick Lamar",Like That
Dua Lipa,Illusion
Dua Lipa,Training Season
Drake,Push Ups
The Red Clay Strays,Wondering Why
Tim McGraw,Live Like You Were Dying
Keith Urban & Lainey Wilson,GO HOME W U
Jelly Roll,Save Me (with Lainey Wilson)
Teddy Swims,The Door
SMITH,Lobby
Gloc23,Kendrick Lamar 6:16 In LA Drake Diss
Luke Combs,Where the Wild Things Are
Jelly Roll,Halfway To Hell
Paul Russell,Lil Boo Thang
Natasha Bedingfield,Unwritten
Disturbed,The Sound of Silence (CYRIL Remix)
Artemas,i like the way you kiss me
Taylor Swift,I Can Do It With a Broken Heart
Jelly Roll,Need a Favor
Chris Stapleton,White Horse
Dasha,Austin
Jelly Roll,Save Me
Morgan Wallen,Last Night
Morgan Wallen,Cowgirls (feat. ERNEST)
Lainey Wilson,Wildflowers and Wild Horses (Single Version)
Dasha,Austin
Beyoncé,TEXAS HOLD 'EM
"Hank Williams, Jr.",A Country Boy Can Survive
Forrest Frank,GOOD DAY
Benson Boone,Beautiful Things
Luke Combs,Fast Car
Elevation Worship,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)"
Jack Harlow,Lovin On Me
August Moon,Closer
Randy Travis,"Forever and Ever, Amen"
Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
Noah Kahan,Stick Season
Cody Johnson,Dirt Cheap
HARDY,TRUCK BED
Dua Lipa,Houdini
Tucker Wetmore,Wine Into Whiskey
Nate Smith,Bulletproof
Taylor Swift,Cruel Summer
Benson Boone,Slow It Down
Ariana Grande,we can't be friends (wait for your love)
Miley Cyrus,Flowers
Beyoncé & Miley Cyrus,II MOST WANTED
Morgan Wallen,Thinkin’ Bout Me
The Red Clay Strays & Western AF,Wondering Why (Live AF Version)
Zac Brown Band,Pirates & Parrots (feat. Mac McAnally)
for KING & COUNTRY & Rebecca St. James,You Make Everything Beautiful
CeCe Winans,Goodness of God (Live)
Taylor Swift,Down Bad
Mark Ambor,Belong Together
Lee Brice,Hard to Love
Dua Lipa,Happy For You
Sukihana,Selling (feat. OJ Da Juiceman)
Zach Bryan,Something in the Orange (Z&E's Version)
Maggie Rogers,Light On
Bon Jovi,Legendary
Norman Greenbaum,Spirit In the Sky
Lil Durk,Broadway Girls (feat. Morgan Wallen)
Muni Long,Made For Me
Scotty McCreery,Cab In A Solo
Chris Stapleton,Tennessee Whiskey
Taylor Swift,Who’s Afraid of Little Old Me?
SZA,Saturn
Teddy Swims,Hammer to the Heart
Sia,Unstoppable
Johnny Cash,The Chicken In Black
Kiss,I Was Made for Lovin' You
Good Neighbours,Home
"Majestic, The Jammin Kid & Céline Dion",Set My Heart On Fire (I'm Alive x And The Beat Goes On)
"Tauren Wells, We The Kingdom & Davies",Take It All Back
Morgan Wallen,Spin You Around (1/24)
Djo,End of Beginning
Shinedown,A Symptom Of Being Human
Pitbull & Dolly Parton,Powerful Women
Miranda Lambert,Wranglers
Seph Schlueter & Matt Maher,Counting My Blessings (Collab Version)
Kate Hudson,Gonna Find Out
All That Remains,Divine
August Moon,Dance Before We Walk
